,at,userName,content,score
64,2022-12-09 15:53:02,Nur Aini,brimo sekarang tambah susah buat daftar kartu atm hilang dan tidak bisa ganti yang baru karena tidak produksi lagi kata pihak bank terus di suruh pakai brimo kukira lebih gampang ternyata nambah sulit daftar wajah tidak bisa susah deh narik uang mau ke bank dulu gimana kalau perlu uang malam coba mempersulit,1
65,2022-12-09 14:04:33,Sri Devi Martini,baru mau intalasi lemot bgt smpe dibuat kesel padahal sdh punya rekening sgt lama sdh coba pakai jaringan data dan wifi tapi pada saat upload video dgn suara yg disarankan selalu gagal ketika back ulangi otp via email jg gagal terus bikin khawatir aja krn proses gantung ditengah proses pada step ke 3 tolong perbaiki lagi sistem servernya dalam proses upload data saya ingin kemudahan akses dan transaksi semoha bisa lebih baik lagi terimakasih,1
66,2022-12-09 13:36:02,Velin Yuno,ini bagaimana yah gabisa login dari semalam tulisannya jaringan internet ga ada padahal wifi aman aman saja tolong dong di perbaiki sistemnya semua data username dan password sudah benar sinyal bagus tapi tidak bisa login,1
67,2022-12-08 22:25:45,kepo'in aja,selalu force close terus sudah 10x mencoba hasilnya tetap sama ada notice app telah berhenti mau di coba sampe 100x pun pasti hasilnya tetap sama tolong di update lagi biar bisa nampung banyak user brimo bugnya juga jngan lupa ya bpkibu,1
68,2022-12-08 20:22:20,Iyan Beb,baru daftar aja ribet banget suruh nunggu link verifikasi waktu 5menit waktu dah habis gk bisa lanjut lelet lemot semua data dah di isi lengkap suruh rekam berulang ulang sampai 3x ulang terossssemoga gk di salah gunakan yamaaf bintang 1 saja aplikasi lemot padahal dah pakai wifi,1
69,2022-12-08 13:39:03,Beby Hirah,sangat lancar menggunakan android versi 12 memang untuk versi 06 sangat tidak bagus suka keluar sendiri ditingkatkan lagi untuk aplikasinya karena kasihan untuk penggunaan android versi lama tidak bisa transaksi lewat brimo,5
70,2022-12-08 07:17:49,Naili Sa'adah,buruklah selalu gagal dalam aplud video mau daftar saja susahnya minta ampun bukan dipermudah malah dipersulit 10x gagal trs dalam rekam video pake data gagal pake wifi jg gagal udahlah gk jadi daftar dipersulit aplikasi keluar sendiri mati sendiri uninstall lebih baik,1
71,2022-12-07 22:34:10,Ridwan Nur,halo kak saya ingin mengajukan kendala untuk aplikasi brimo saya pada fitur tarik tunai tidak bisa untuk digunakan sumber dana dan nominal tidak muncul saya sudah melakukan berbagai cara seperti log in ulang uninstall dan install ulang mengaktifkan mode pesawat dan saya sudah memastikan indikator sinyal saya berwarna hijau untuk versi brimo saya sudah yg terbaru 2340,1
72,2022-12-07 20:41:36,AnggiBayu ACI,tidak bisa registrasi karena video 8 detik gagal upload padahal sudah sunyi tidak terlalu terang tidak back light cb pelajari mbankin mandiri regist mudah dan cepat tidak ruwet seperti brimo,1
73,2022-12-07 19:12:33,Wahyuni Choyrun nisa',gagal registrasi waktu pendaftaran terus ada kode sivo saya udah mencoba berulang2 kali tapi mengapa sangat sulit sekali dan selalu gagal bukannya mempermudah mala memperumit masyarakat yang ingin menggunakan brimo mending manual aja dari pada pake gini2 tapi tidak ada suport sama sekali,1
74,2022-12-07 14:20:06,Seno Sihono,ini aplikasi gimana ya udah bener semua data masih tidak bisa login juga padahal sinyal udah bagus pulsa full juga mana username salah password salah lah kata aplikasinya mohon diperbaiki lagi sistem kasian yang lagi butuhnya mau cek atau transaksi malah eror pas digunakan,1
75,2022-12-07 11:56:54,Wahyu 25,sudah 2 hari lebih brimo tidak bisa tarik tunai klik opsi tarik tunai tidak muncul apapun saya sudah menonaktifkan data mengaktifkan mode pesawat selama 5 menit logout brimo lalu login ulang update brimo hapus data pakai wifi tapi hasilnya tetap tidak bisa dan saya sudah mengulang kembali secara berkala dalam waktu yang tidak berdekatan dan juga sudah mengulang kembali di keesokan hari tapi hasilnya tetap tidak bisa semua hal sudah saya lakukan dan hasilnya tetap nihil,1
76,2022-12-06 23:34:39,Hanna Risma Sajidah,hallo min aku kasi bintang 3 dulu ya soalnya menu tarik tunai lewat brimo minimumnya hanya 100000 kalo boleh minimumnya itu 50000 untuk memudahkan anak kos seperti saya yang kartunya ketelan dan belum bisa buat kartu baru nanti kalo udah di update jadi minimum penarikan 50000 aku kasi bintang 5 ya min terimakasih,3
77,2022-12-06 18:53:19,Muhammad Irvan,brimo gak jelas banyak masalah app brimo aplikasi error email brimo juga slow respon balasan bukannya kasih solusi udah daftar berharihari jaringan 4g data dan nomor rek semua benar malah dibilang data salah,1
78,2022-12-06 13:55:53,Muhammad Masrani,sementara saya kasih bintang 2 karena akhir inibukti transfer tidak bisa di akses setiap mau akses bukti transfer selalu keluar dari aplikasi problem solved tapi saya harus uninstall lalu install lagi baru bisa kalau cuman hapus data dan cache belum bisa terselesaikan,4
79,2022-12-06 10:15:06,Yoga Mia,sudah di coba beberapa kali untuk verifikasi vidio sudah di tempat terang mauapun gelap cahaya biasa tetep aja sudah 4x hapus dan instal ulang masih aja sama tidak bisa lanjut ke berikutnya tidak ada kata gagal ataupun apapun tapi tetep di cara nomer 3,1
80,2022-12-06 10:02:50,Sidik Marino,punya 2 rekening tak daftarkan 1 ke bank maunya yg satu tak masukan lewat aplikasi tp kok gak ad fiturnya ya kalau ke bank lg repot belum lg antrinya mnta ampun jd tolong di tambah fitur buat menambahkan rekening yg sudah aktif lewat aplikasi,3
81,2022-12-06 02:47:39,mas Hasby,pembaruan aplikasi bukan makin bagus malah kualitas menurun memang tampilan baru menu lbh banyak tapi amat sangat di sayangkan loading sangat lemot sdh sy coba pakai wify tetep tdk berjalan dg baik untuk cek saldo saja membutuhkan waktu 10 menit mohon aga aplikasi ini di perbaiki lagi terima kasih,5
82,2022-12-05 13:19:14,Gustireza,aplikasi sering eror dan terhentilogout sendiri tidak bisa digunakan sejak rilis dengan penanda signal alasan jaringan tidak stabil lah koneksi buruk lh masa iya koneksi buruk cuma di app brimo lebih baik versi lama yg standar bukannya nambah praktis dan mudah malah makin ribet dan susah digunakan kalau ada penilaian minus bintang bagus kasi minus,1
83,2022-12-05 08:07:38,Roni Astuti,maaf bintang 3 dulu tolong diperbaiki aplikasi nya kemarin nyoba login pertama kali waktu diminta ngisi kode yang dikirim email diulang sampai 3 kali ngak munculmuncul pesan di email sekarang nyoba login pakai email baru kendala di verifikasi wajah padahal udah jelas dan internet juga bagus ngak pakai kacamata masker apalagi topi,3
84,2022-12-04 11:46:43,IKHLAS LATIF LUMBAN GAOL,aplikasinya sangat sangat membantu kaum rebahan seperti saya tapi ada yang kurang kenapa notifikasi saat ada uang masuk ke rekening kita tidak ada hanya pengeluaran saja yang ada notifikasi sama di catatan keuangan di bagian pemasukan tidak tercatat hanya pengeluaran saja yang tercatat apa memang pemasukan itu harus dicatat manual,4
85,2022-12-03 01:04:12,uud mahmud,aplikasi suka keluar sendiri trus mutasi sma riwayat nya suka pending berjam jam jadi bikin transaksi bisnis saya terhambatsetelah saya ikuti arahan dari admin buat hapus data dan restart hp malah tidak bisa masuk mohon untuk segera diperbaiki,1
