content,at,userName,score,application
kok selalu blom di akses buka aplikasi di tanggal akhir bulan apa perlu uninstall dan donload nggak sedep jadi huuuu,2022-12-29 17:58:33,BONDAN BARGOD,2,BCA
entah sering jadi error ganggu koneksi padahal sinyal selular koneksi wifi baik baik,2022-12-29 16:53:53,M Rizal,2,BCA
mohon baik aplikasinyasekarang terlalu ribet update nya matang masak mau fertivikasi foto wajah aja gabisa udah coba kali kali ganti2 tempat tetap alhasil tidak bisa buka m banking,2022-12-29 16:44:00,Uyur Aahh,1,BCA
verifikasi muka susaahhhh 3 hari ngurusin ginian doang ujung2nya jd pakai bank kalo memang ningkatin aman knp pakai verifikasi emailnomor telfon tiap kali transaksi pada kaya gin mn hasil kamera depan ikut ubah ketimbang asli,2022-12-29 07:12:13,Restu Nugraha,1,BCA
updat jd bisa buka aplikasi karna selalu sala memasuka data padahaldatanya benar mohonbantuan nya tida vrevikasi biarjd gampang masuk,2022-12-29 04:01:56,Deni Ramdani,5,BCA
ganti device pas mau login perlu verifikasi wajah aneh nya gagal mulu heran verifikasi ulang udah hampir 15x pulsa abis akun masukmasuk gimana kenal wajah nya kok susah masa pake wajah 5 tahun lalu,2022-12-28 20:58:15,Nur Aida,1,BCA
kek ee kak jaring bagus paket banyak internetan lancar gilir mau transfer buru2 mbca biru terus ijo2 tunggu lampu warna hijau nyala gitu terus udah kayak ee aja nih apk,2022-12-28 20:30:24,Si Malas,1,BCA
aplikasi gagal verifikasi terus aneh udah sesuai intruksi tetep aja gagal komplain whatsapp jawab keluh lagi pake verifikasi wajah ngapain coba udah otp padahal,2022-12-28 16:34:04,Mercy E200,1,BCA
baru baru buat ribet udah kali coba vrifikasi wajah malah suruh coba coba terus akhirny skarang malah bisa pakai mbca nya bagus versi lama harap baik lgi,2022-12-28 13:14:48,David Okta nugraha,1,BCA
scan wajah gagal terus aneh banget makin ribet aja kalo buat aplikasi bener kenapa udah ulang berapa kali jga tetep aja bisa,2022-12-28 12:27:18,Elman Bintaro,1,BCA
harus tambahin fitur notifikasi transaksi jadi apa bila transaksi masuk tau transfer masuk siapa siapa kalau bisa di upgrade lgi applikasinya biar lengkap mbanking bank yang aku punya udah lengkap bgt,2022-12-27 22:20:56,Nuna Unnie,3,BCA
gimana inidata benardata sudah sesuai ktp tp gagal terus verivikasinyahabis diupdate harusnyasih lebih baik,2022-12-27 21:34:10,Ahmad Zaki,1,BCA
diupgrade malah bukan makin mudah verifikasi malah makin sulit gagal terus upload foto malah kantor untuk verifikasi kalo dkat mengapa tp lokasi rumah jauh cukup repot makan waktu,2022-12-27 15:46:07,Wiwik Indrawaty,1,BCA
coba rumah verifikasi bisa pergi cs sinyal malah merah trus udah coba kali ngerefresh merah aja ubah bolak balik verifikasi sms sampe abis pulsa sedot ttp ajaa bisa jd banget gin sih kelas bca loh ini,2022-12-27 11:36:32,Trii Rahayu,1,BCA
sekarang sering error lah maintenance nya perhati kasih pemberitahuan dulu kalo memang mau baik apa jd prepare bank swasta besar kok gin layan mbankingnya,2022-12-27 10:57:34,Rizki Ramdhani,1,BCA
kecewa jaring bca mobile pernah bagus tunggu lama tetep aja indikator merah saya ganti pakai jaring wifi sama tetep indikator jarang hijau so simpul app nya masalah,2022-12-27 10:46:10,Hermawan Wisnu,1,BCA
kenapa tambah aneh2 aja pake acara verifikasi poto2 segala sekarang udah semua bener sesuai instruksi tetep bisa aneh2 tp pro bug error or tidak bisa tambah aneh2 aja atm bca jadi males,2022-12-27 10:26:27,Dusya Acdert,1,BCA
verifikasi wajah lebih baik hilang malah buat nasabah ribet tiap verifikasi gagal mulu padahal milik akun asli ada malah rugi pulsa potong tp gagal verifikasi,2022-12-26 22:28:29,Evan,1,BCA
maless bangett asli tangan lama banget kalo buka rekening baru kalo bukan urus kerja g mungkin aku bain download kalo tangan cepatt kaya bank belah jadi bingung kalo mau rekomendasi bagus ndak lot bangt,2022-12-26 20:01:56,Amanda Ade,2,BCA
juga bisa login selalu muncul mli aplikasi tutup aplikasisudah ta uninstal download beberapa kali tetep bisatolong cari solusi,2022-12-26 17:37:36,Nabila Early,1,BCA
update selalu bisa masuk password udah bner verifikasi aneh dah,2022-12-26 17:16:47,aris mardiansyah,1,BCA
gak login verifikasi wajah mau masuk kamera nya gagal mulu sampe gonta ganti handphone buat daftar ulang tetep tidak bisa padahal urgen cuman ngabisin pulsa buat verifikasi nomor mohon baik,2022-12-26 12:01:33,Sabta Seven,1,BCA
nyedot pulsa terlalu kenceng sampai hubung castamer service makan pulsa 17000 hitung detik tolong kasih nomor bebas pulsa biar kalau apaapa enak di hubungin banyak bicara,2022-12-26 11:06:11,Bello Bangor,1,BCA
downgrade yang lamakalau mau upgrade di baik masalah bug sinyal aja perlu deteksi wajah,2022-12-26 09:43:27,Nash Rullah,1,BCA
update qris deteksi aplikasi seperti dana gojek deteksi ingin bayar entah hanya jadi device atau bukan jelas ingin guna qris bca mobile qr deteksi mohon bantu,2022-12-25 18:44:24,ArKa Bray,3,BCA
mau login mbanking karna ganti hp aja ribet nya minta ampun verifikasi wajah persis kaya ktp terus kalau foto ktp nya gondrong sekarang botak pake wig gitu aman sih aman tp logis lah,2022-12-25 14:41:47,Jeff Amarta Aritonang,1,BCA
habis update suruh verifikasi muka malah bisa sekrang bisa buat transaksi buat apa sedia fitur muka yang punya malah baca malah sia sia punya aplikasi mbca baik,2022-12-24 16:38:28,Ary Pratama,1,BCA
males sekarang guna mbking bca tadi nya aktif normal suruh baharu udah baharu suruh foto udah foto pernah hasil udah nyoba berapa kali ajah tidak bisa mending apus kesel,2022-12-24 14:41:35,Nasihudin Udin,1,BCA
telah upgrade kok mlah sulit sih bcahaduhhmau transfer liat saldo aja verifikasi datawajah dulu udah gt gagal terus pas verifikasi wajahpadahl dibutuhin banget ni aplikasi jadi guna aplikasi nya lah baik sulit nasabah,2022-12-24 10:32:12,Galuh Noviyanti,1,BCA
gimana diupdate malah scan ktp sama wajah malah gagal terus padahal benar jadi tambah repot nasabah kalo begini tlg baik sistem verifikasi ktp sama wajah kecewa bgt,2022-12-24 08:47:16,Yayan Smileboy,1,BCA
kenapa susah sekali verifikasi wajah kak ulang kali selalu gagal data ektp sesuai upgrade kok malah bikin bagai nasabah jadi sulit transaksi,2022-12-23 23:54:46,Alvaro kids channel,1,BCA
kapok hehe gabakal hapus aplikasi bca mobile garagara hapus aplikasi jadi ribet sendiri update data ke kantor bca selalu takjub layan staff bca profesional bantu semua kendala hingga customer puas moga aplikasi selalu aman,2022-12-23 20:01:58,Annisa Nurul Fatimah,4,BCA
bca kapan mau baik sdh masukin data benarktp asliverifikasi selalu gagal sangat sangat menyulotkan aktifitas selalu pakai m bca tp sekarang bsa login,2022-12-23 18:10:58,Fm Shop,1,BCA
sengaja kasih bintang 1 karna tiap mau video call selalu koneksi buruk padaha sinyal bagus pake wifi pake data sama aja kaya gitu mohon data di jaga baik,2022-12-23 17:04:45,Nathan Ajmal Alzaidan,1,BCA
verifikasi muka gagal terus foto bagus cahaya terang pake muka sendiri ikut di terang coba ulang tetap sama gagal bikin repot,2022-12-23 11:10:04,RED PANDA,1,BCA
dulu sangat nyaman guna bca mobile mudah cepat sekarang ribet verifikasi wajah selalu gagal suruh ulang gagal begitu buangbuang waktu,2022-12-23 02:29:07,Indah Virsyanasari,1,BCA
hallo ka udah updte mbca diplaystore pas vermuk udah ngelak cuma vermuknya gagal kini data padahal udah kini data gimana ya solusi soal repot kalau pake mbangking trimakasih,2022-12-22 20:56:38,Endah Marliana,2,BCA
aplikasi parahdi update malah verifikasi wajah verifikasi slalu gagal hadehh parah aplikasi mending hapus playstoremakanin pulsa doang tidak login bukan mudah malah sulit,2022-12-22 18:44:18,Joni Asgar,1,BCA
pantesan mbanking bca gua error kirain emng salah gimna tidaktaunya abis update aplikasi baru bnyak keluh masuk kode aktivasi trus muncul tulis 205 transaksi dapat proses bla bla gimna sih,2022-12-22 17:16:02,Aji Pangestu,1,BCA
hallo nasabah baru kesan pertama sama biasa lebih saat laku buka rekening lalu app sangat butuh sinyal kuat padahal segi tampil lihat biasa kurang tarik mungkin jadi masuk,2022-12-22 13:33:59,ZyanAzyani Channels,3,BCA
gabisa login nmr lama lalu input nmr baru atm isi pulsa paket data nmr baru telah coba login dengan nmr baru pulsa potong tulis keluar malah suruh daftar nmr atm bagaiamana,2022-12-22 11:52:10,Maria Irlene,5,BCA
pas verifikasi ktp wajah gagal gagal terus padahal sama asli semua sistem deteksi wajah jelek baik sistem kalo di mudah di sulit saran kalo percaya pake foto mending video call,2022-12-22 09:45:22,Melda Istiqomah,1,BCA
mbca repot login semua data lengkap gilir foto wajah respon mohon mudah nambah sulit tidak solusi tepat balas sama mohon maaf atas tidak nyaman tidak peduli nasabah biasa guna bca mobile sama aja jadul ke atm,2022-12-21 23:27:15,hudzayfah losari,1,BCA
fitur kenal wajah sangat burukknp hrs adayg belum udah bagus malah jd buruk ada kenal wajahia kalo fitur kenal wajah lgsung baca profil ktlah malah kenal kan goblokkkkk,2022-12-21 21:11:46,eno djalil,2,BCA
semua data benar udah foto sendiri wah teknologi scan wajah kurang mumpuni kalau mau tiru2 apps belah pasti mampu dulu aplikasi jadi guna mohon segera baik,2022-12-21 18:49:16,Liviana Muhayatul Khoiroh,1,BCA
maksut hati ganti mbca hape baru ternyta verifikasi selalu gagal data benar photo uda pake senter biar jelas wajah eehhh ternyta gagal total hapus aja verifikasi wajah repot sumpah,2022-12-21 17:32:16,Dhoni Daisuke,1,BCA
jadi jelek gin aplikasi mau pake malah bisa verifikasi tp malah gagal mulu benerin dong appnya banyak banget review ngalamin yang sama tp di bener2in,2022-12-21 15:34:20,Meyla Ariany,1,BCA
upgrade aplikasi seperti jadi jadi up malah down sya data saya sudah benarverifikasi wajah sudahtetap bisa login,2022-12-21 15:19:31,Ismail Jatmiko,1,BCA
verifikasi masuk jadi susah kenal wajah selalu gagal telah hubung halo bca waktu 1x24 jam atas masuk login di bantu verifikasi pihak bca,2022-12-21 10:31:29,Adrianus Angga,5,BCA
fitur verifikasi wajah sangat bikin sulit kan data ktp valid daftar jga kalo misal ktp tahun 2010 sama sekarang kan wajah beda tolong jangan sulit daftar kali bikin ktp ribet bca,2022-12-21 09:00:12,Kaneki Ken,1,BCA
baru selalu update tidak ubah apa ui aplikasi cuma kemarin lihat saldo pin aja udah doang gatau yang diupdate mungkin bug lama pakai mbca sih pernah nemu bug entah mungkin ada sesuatu dalam sana,2022-12-20 21:08:31,Riswan Daniawan,3,BCA
baru malah bisa masuk abis pulsa buat smsminta verivikasi wajah ktp ulang 3xtapi tetap bisa masukujung2 nya suruh kantor cabang buat baru data bca kok bukan nya maju malah mundur tenknologinya kalah canggih bankbank digital terima kasih,2022-12-20 15:08:37,MYL,1,BCA
haduh jadi bisa transaksi update verifikasi selalu gagal kali kali coba padahal sesuai kalau memang aplikasi siap update lebih baik tetap versi lama,2022-12-20 08:45:54,May Rukmaini,1,BCA
stelah upgrade knapa jdi susah login verifikasi wajahktp gagal terus padahal data udah benar sesuai jadi ribet gin bca parah,2022-12-20 06:34:47,doni 1933 (doniR1933),1,BCA
alangkah bagus apabila mutasi rekening nya lebih detail bukan uang keluar masuk tapi jumlah uang masuk sebut jadi berapa uang kita milik begitu user tahu awal bulan pasu berapa dari pasu sebut uang jadi berapa,2022-12-20 00:03:53,Nashir Mudzakir,3,BCA
verifikasi wajah bisa sama sekali msh lebih suka dulu verifikasi pakai pin cepat ganti jangan verifikasi wajah karna sy udah nyoba puluh kali tetap bisa sulit hidup aja sy mau laku bayar jd bisa rating buruk sekarang untuk mbanking bca,2022-12-19 11:24:00,Eva yuliana Safitri,1,BCA
laku daftar lancar ada kendala cuman 30 menit langsung selesai lama banyak baca dulu fitur notifikasi lebih manfaat guna pemberitahuan saldo masuk jangan cuman pajang,2022-12-18 15:12:51,Foobi,4,BCA
upgrade malah bisa login verifikasi wajah udah eh malah suruh update data diri cabang bca dekat jelas update sangat kecewa jadi guna aplikasi pulsa mah abis buat biaya sms hapus aja sekali aplikasi playstore guna,2022-12-18 07:10:59,Agus Hidayat,1,BCA
bca mobile harus tiru mandiri mobile tampil menu komplit history transaksi akses ful bulan bahkan sampek 1 tahun knp bca cuma satu minggu bs di akses history transaksi,2022-12-17 22:58:03,Fatikhin arrohmat,3,BCA
sekarang ribet banget pindah hp verifikasi wajah gagal terus ujung2nya telpon cs ribet makan waktu kalau aplikasi siap mending usah deh verifikasi segala lebih simpel aplikasi lama kalau udah baik mudah saya tambahin bintang,2022-12-17 13:45:11,Vika Cempaka,1,BCA
knp ering banget kurang saldo emang tidakbanyak cuma puluh ribu tp tidakada riwayat mutasi bca lebih baik dulu kalo cek saldo pakai no pin jadi hari 20rb lebih tnp riwayat mutasi hampir tiap hari loh,2022-12-16 21:55:24,Diane Gunawan,2,BCA
sekarang sulit tidak login ada verifikasi data wajah padahal sesuai data ktp wajah masih sama selalu gagal dibenahin,2022-12-16 01:17:40,Mu'adz,1,BCA
ancur gakk verifikasi wajah padahal data semua lengkap aja suruh balik awal di baik cepat bisa ini makin susah login akun sendiri,2022-12-16 01:01:10,Ardhi surya Hutama3006,1,BCA
astaghfirullah tobat aku tobat tadi verifikasi muka ngelag sekarang gagal masuk kali kali bukan masalah pindah device tapi update sistem ampuuunn jelek banget sistem uninstall aja lah,2022-12-15 23:22:01,kustiningsih nuning,1,BCA
kecewa sama layan mbanking sekarang mau daftar ulang data mbanking harus verifikasi wajah sih masalah masalah verifikasi wajah benar gagal berkali2 gimana sih nih mbanking bca jadi sulit nasabah,2022-12-15 21:31:24,Trian Rismayanti,1,BCA
sangat kecewa verifikasi mbca sulit ktp wajah dah benar gagal terus suatu downgrade bukan upgrade pdahal mbca sangat butuh seperti dulu mudah saat gonta ganti device sekarang jd hambat transaksi,2022-12-15 11:55:15,Anjar Suseno,1,BCA
aplikasi jadi jelek ganti hp daftar ulang verifikasi ktp selalu gagal padahal benar semua memang tuju ada verifikasi ini sudah beberapa kali verifikasi benar tetap selalu gagal dong kembali aplikasi versi belum terima kasih,2022-12-15 08:16:35,Dori Hery,1,BCA
makin lama aplikasi mbca selalu jelek verifikasi info saldo pakai ktp kenal wajah gagal ros gimana sih aplikasi makin lama makin jelas aplikasi dulu lebih bagus dr sekarang kerja transaksi uang jd kendala banyak verifikasi sangat rumit segera baik,2022-12-14 16:42:42,Rima Renata,1,BCA
utk buka rekening lewat aplikasi verifikasi vicall koneksi susah walaupun sdh jaring baik cs kurang ramah padahal sama dg perempuan akhir pilih langsung kekantot,2022-12-14 11:15:02,Tri Susilawati,1,BCA
sekarang bca mobile bisa pakai gerai ke kantor cabang verifakis muka bisa sinyal pake data sinyal pake wifi 50 mps tetep bisa sangat kecewa usaha pak susah mw cek saldo masuk ke atm di perbaikin lebih bagus aplikasi sblm nya,2022-12-14 10:14:31,Zhafira Fiebi,1,BCA
vermuk gagal terus apa harus beli hp dulu baru punya mbanking padahal belum enak keluar masuk akun karna hp cuma 1 sesuai sim sekarang pakai atur baru jadi gabisa login padahal kkebijjakan belum sangat enak tidak ribet,2022-12-14 09:18:13,sintia rani,1,BCA
bolak balik verifikasi gagal terus verifikasi wajah data semua benar ko dulu mudah banget sekarang kok parah padahal butuh buat transaksi kampung halaman sya ngk ad bank bca atm sama jga jauh emang ngak mikir bca malah bikin susah customernya,2022-12-13 09:57:54,Taufan Putrev,1,BCA
mudah sistem verifikasi selalu gagal pdahal benar coba kali kali hari lain tetep gagal datang kantor cabang ada solusi coba di sana gagal terus kata security nya mungkin aplikasi nya error kali tiap hari error,2022-12-12 21:58:24,Mas Jey,1,BCA
apaaan gala verifikasi muka pas udah diarahin muka gabisa jangan segala apa bae guna kgaa mau login aja susah verifikasi muka aja scannya lama kurang terang kurang terang kudu pake apa terang baru makin gajelas,2022-12-12 21:47:02,Zyra Dhewani,1,BCA
masuk tim it hasil mutasi buat lebih simpel punya btpn jenius lah jd lebih mudah liat rekap transaksi perlu bolak balik ketik pin tentu tanggal,2022-12-12 13:37:37,Yuri khodonk,1,BCA
engga jagan terlalu ribet ginijadi tambah susah mbangking sangat perlu sekali sudah engisi data gaga terus jadi tambah ribet ahbisa seperti biasa nya aja,2022-12-12 11:57:13,Sarah Andini,2,BCA
verifikasi data diri selalu gagal padahal fto ktpdan wajah pasmohon pihak bca segera baik sudah banyak verifikasi gagal terus,2022-12-12 11:51:26,Eko cahyono,1,BCA
bca mobile tampil fitur paling sederhana antara bank besar tapi pemitakhiran malah lebih jelek belum makin susah tidak ketemu cari qr code rekening data transaksi harus skrinsut itnya sedang tidur kali,2022-12-11 21:40:38,RIDHAF CORP,1,BCA
ganti hp buat verifikasi ajaa gagal mulu masa kalah sama aplikasi pinjol buat login ajaa cabang udah tau kalo ke cabang antri ampe sore jadi bisa transaksi kan,2022-12-11 19:20:34,Toyota Mobilindo,1,BCA
makin susah aja aplikasi ngasih data sesuai apa di minta aplikasi verifikasi bener di gagal trus sudah di coba kali kali tetep gagl gimana saya sangat kecwa sekali,2022-12-11 17:56:01,Kuswandi Allfandari,1,BCA
benar banyak manfaat pakai aplikasi tapi baru sekarang kalau transfer rekening luar bca jadi sulit minta pilih bank telah milih nomor rekening nya pilih bank ubah padahal dulu transfer ananti bank sangat mudah sekarang bisa ananti rekening bca aja,2022-12-11 10:47:19,Zainul Arifin,2,BCA
mbca update baru sangat memuaskandulu lebih simpel sekarang ribet data kirim benar gilir verifikasi foto ktp hasil terus verifikasi facelook gagal terus gimana bca padahal mbca sangat butuh,2022-12-11 08:12:39,Fahmi Sani,1,BCA
aplikasi anehpadahal ektpvitur wajah udah sesuai selalu gagal verifikasiudah kirim sms berkalikali mikirin rakyat wahai adminbuka pola pikir kalianudah tau sangat butuh malah ada ubah,2022-12-11 07:06:13,Fakhri Firmansyah,1,BCA
beberapa kali coba verifikasi nokartu selalu gagal padahal daftar kan nomer daftar atm maupun cs selalu muncul ingat laku registrasi ulang atm,2022-12-11 06:02:29,jeny ari widiastuti,1,BCA
mau tingkat layan nyata makin sulit verifikasi wajah gagal2 teruspulsa jaring bagus tetep aja gagaldisuruh k cabang kini dataudah laku kemudian instal lagiverifikasi gagal lagidan k cabang lagiharus luang waktu antri lagipayah,2022-12-11 02:41:01,Muhammad Ismail,1,BCA
dg mbca makin jelekminta verifikasi ulang selalu gagalpadahal signal bagus dong gmn karena mbca sangat bantu dalam segala,2022-12-10 13:25:05,Aslinda Linda,1,BCA
gk paham akhir2 klik tuh jelek banget dipake trf hape maupun web sering aplikasi keluar sendri trus mau log in tunggu 5 mnt bner2 uji sabar kl lagi urgent 5 mnt asa 5 jam dong tingkat pelayananya,2022-12-10 09:20:03,Diniar Anggriani,2,BCA
bintang satu dl lah baik aplikasi susah bnyk org ganti gadget lainnyasaat verifikasi diri face recognition aplikasi support suruh hrs kantor cab bcahaduuuuh sulit bgttolong lah baik aplikasi bagus dl,2022-12-09 16:22:20,Guntar Prawiro,1,BCA
hallo maaf kok tidakbisa update versi baru bca mobile nya yaa sudah hasil update 100 selalu muncul kata dapat menginstal bca mobile coba dan masih fungsi lihat cara umum baik masalah mohon bantu,2022-12-09 13:46:20,Merry Simorangkir,4,BCA
bank bca baik aplikasi 100 kali vermuk gagal terus banyak keluh coba jangan alas cahaya siang hari cahaya terang gagal posisi ngikutin tunjuk gagal coba tim it bca aplikasi baik,2022-12-09 13:01:00,Calysa Abinaya,1,BCA
ada menu vermuk bca mobile bisa buka hp oppo a37f saya coba puluh x sinyal baguss full,2022-12-09 12:54:39,Bali Typical Tour,1,BCA
telah upgrade miui kok muncul error 106 please insert your sim card kalo tekan tombol closed aplikasi tutup sinya hp normal tp muncul error please insert sim card mulu g baik apa ganggu banged kalo mau transaksi bolak balik ngeluarin n masukin simcard,2022-12-08 20:30:16,Ajib Ghufron,3,BCA
aplikasi sangat buruk tambah sistem pendaftaranya tele tele verifikasi via sms bayar pulak gagal sambung wajib sms ulang habis pulsa hubung sampah ni aplikasi,2022-12-08 20:11:07,D Trial,1,BCA
jadi bisa login malah muncul verifikasi data proses kirim smsdan balik ke menu gagal verifikasidicoba berulang2 pulsa sms habis sama aja bisa masuk lanjut menu spt dulu,2022-12-08 15:48:20,Y K,1,BCA
baru kecewa bca bayar kartu halo status gagal tp dana debit kartu halo sdh bayar tp bukti transaksi tetap gagal terus shg bisa klaim usaha bukti bayar gagal bukan hasil,2022-12-08 15:36:44,dian anggraini,1,BCA
kenapa bca gila verifikasi jelas padahal data sesuai tidak log in selalu bilang data salah kasih solusi lah wa customer care kata verifikasi guna baru ajj,2022-12-08 12:52:04,Giant,1,BCA
nasabah bca lama dari dulu mau ganti hp pindah mbca mudah sekarang verif wajah ktp malah bikin ribet rumit kalau updatenya ada bug bagus sekarang aplikasi malah makin banyak bug verifikasi wajah gagal terus mau coba 100x sama kecewakemunduran,2022-12-08 11:28:19,akun game,1,BCA
sistem goblog piara alih2 buat gebrak baru rugi banyak orang sudah verifikasi ktpe wajah sesuai diri sendiri tetap gagal terus ulang 2 klw mau bikin sistem coba bener jangan sistem sampah di jual belikan,2022-12-08 10:50:38,idwandi hendratyandi (idow/wandi),1,BCA
selalu gagal verfikasipadahal benar ektp sama wajah nyadan kemaren datang ke bank bca kata nya bisa tunggu 24 jam sekali coba malah tetap gagalpadahal antri lama lama baik lagisoal nya mbanking penting banget,2022-12-08 09:19:47,Gusti Fakih,1,BCA
makin kesini kok malah makin kesana bikin kesel nih cara login cuma ganti kartu sim satu aja malah verifikasi ulang padahal update harus verifikasi ulang jangan balas alih keluh balas baik kesel gua lamalama pake bca mobile,2022-12-07 11:29:57,Nanda_Sukmawijaya,1,BCA
udah bikin rekening tahap ekspresi lama 3 bulan kartu tiap bank kartu selalu habis sangat masuk akal masa iya kali tanya jawab selalu nunggu kirimna jakarta sedia kartu nya lha kalian bank kerja ngapain aja,2022-12-07 11:01:49,Candra Prayoga,1,BCA
parah sih sekarangkenapa aplikasi utak atikudah enk kaya dulu login gampang verifikasi ktp sama wajah gagal mulu padahal benartolong balikin deh kaya dulu kalo mau user kecewa,2022-12-07 06:30:59,Cici Aja,1,BCA
login makin ribet vermuk segala enak versi lama mudah d guna tidak neko2 padahal verifikasi awal sdh masuk aplikasi mau liat saldo hrs verifikasi ulang dan gagal terus gimana iniparah,2022-12-07 01:59:33,Readone,1,BCA
yaa jdi tidakbisa pake m banking bca karna mau deteksi pas verifikasi lewat poto wajah percuma kalau hrus pake hp bagus kamera turut deteksi foto wajah nya terlalu susah login,2022-12-06 23:51:13,Helmi Juliansah,1,BCA
saya tampil aplikasi perlu banyak ubah kena tampil tiap opsi kurang sedap pandang jadul saja sih numpuk menu besar ky tampil menu hp nokia jadul tidaksimpel,2022-12-06 18:49:09,Arka Abkori,2,BCA
malah makin rusak gin sih aplikasj pake verifikasi ulang ektp n muka sgala dh gtu pas verif muka malah lolos d blg data tidak benerr padahal data kartu n smuanya udah bener maksud apa koq malah jadi makin sulit gin ribet dah kecewa sumpaaahhh,2022-12-06 15:28:52,Ahza vanessa Ananda,1,BCA
paksa turun bintang nyaversi sekarang show qr nya malah ilangsaya bagai sedia jasa terkadang dpt custemer pilih transfer lebih mudah show qr sekaranv bisa,2022-12-06 14:52:05,Haris Fatoni,4,BCA
belum sangat bantu cuma sekarang kalau ganti hp ribet isi verifikasi wajah ktp wajah udah benar tetep gagal jadi bisa pake wajah sendiri bisa jalan baik makanya kembalika review bintang 5 karena memang aplikasi sangat bantu,2022-12-06 09:24:32,Dex Bakrok (Dex Bakrok),5,BCA
parah baru sekarang gagal mulu vertivikasi wajah bikin pulsa abis sedot buat masuk nya sampe sekarang tidak masuk aktifasi mbangkingnya padahal data sesuai vertivikasi wajah selalu gagal ngabisin pulsa parah lah,2022-12-06 02:46:49,Roedy cungkring,1,BCA
baru ganti hapedevice nomor sim sama slot 1 pasu nomor kartu balik menu awal lanjut ke verifikasi sms ya mohon tindak lanjut jaring bagus hape baru ganti,2022-12-06 00:36:08,Evi Maryati,3,BCA
mbca makin kesini makin kesana parah semua sulit mau login data semua benar pas mau verifikasi wajah malah balik menu awal terus coba kali kali hasil sama dong bca baik sangat sulit,2022-12-05 22:26:38,Tai Anjing,1,BCA
min benerin dong kenapa aplikasi mbca malah icon sinyal merah terus padahal jaring di hp bagus ping nya jadi mau transaksi gagal terus gara gara sinyal padahl bank utama min,2022-12-05 21:57:47,Feriawan Aji,1,BCA
daritdai daftar mbanking gagal verifikasi wajah padahal data benar semua daftar mbankin 2 debit card dan dua2nya gagal terus padahal nomor beda data benar semua mudah dong karna saya sangat butuh mbankin hari thanks,2022-12-05 15:09:02,Margareta Tambun,1,BCA
mohon pihak call center video call baik kes kurang baik kurang ramah untuk video call susah tinggal langkah terahir daftar tp sulit video call kurang baik kalau layan udah baik bintang tambahin,2022-12-05 10:40:08,Tri Azolla,2,BCA
pulsa habis selalu gagal proses verifikasi sudah mati sim2 guna data seluler sim utama sudah hasil kirim sms sudah dapat balas selalu pesan silah registrasi ulang atm bca sungguh buangbuang waktu uang,2022-12-05 09:06:04,MFauzan,1,BCA
lebih ribet harus verifikasi wajah ktp padahal belum lancar ada masalah tiap kali verifikasi selalu gagal jadi malah bisa pakai mbanking,2022-12-05 05:44:13,Hasan Sopandi,2,BCA
sangat susah login baru isi data swafoto tidak harus cabang dekat kini data makin kesini makin rempong aja ni aplikasi,2022-12-05 01:46:55,Ikha Manoppo,1,BCA
